,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
1.4000000000000001,28.033503224297075,1.577060773329695,-1.3248655696812155,61.54661590965944,21.8278682649209,c,fl,4.480092616917334,1.5781662739064233,c,fl
1.41,28.016409400730293,1.5881141294127985,-1.4237226190261993,61.59354465318552,21.71920868429872,c,fl,4.530131391917926,1.5182946434789275,c,fl
1.42,27.97834159642974,1.5535583443688794,-1.5353878450445362,61.45807066264935,21.74902383480517,c,fl,4.4212517311950155,1.3323055417816003,c,fl
1.43,28.023645729507773,1.621212510344596,-1.4738518961328446,61.348149576548245,21.714554294720084,c,fl,4.500715455942591,1.4056510494651504,c,fl
1.44,28.173151331510457,1.5834678734257583,-1.4278053405568338,61.28267564093093,21.68406614884482,c,fl,4.475860616351518,1.4645874023689263,c,fl
1.45,28.065846626045403,1.5549619054897783,-1.3849900846220211,61.22581095030252,21.713981663572856,c,fl,4.501186597316149,1.5612346072043497,c,fl
1.46,28.064086516274067,1.551317907942855,-1.38615133830239,61.08127377312027,21.700348433456693,c,fl,4.438493121471732,1.5010238752264864,c,fl
1.47,28.092481031894962,1.5508995110963848,-1.4845093355291425,60.9937646737281,21.699692995511256,c,fl,4.436663839628037,1.401254993002509,c,fl
1.48,28.102621915508156,1.573158507527388,-1.4801885215570725,61.0320200025729,21.659676939575352,c,fl,4.493190186117703,1.4398431570332424,c,fl
1.49,28.104239882393795,1.5489124758337576,-1.4270158928798207,60.91124682229344,21.67332157188774,c,fl,4.485742757005557,1.5098143882919786,c,fl
1.5,28.0498933723934,1.5307131986568765,-1.3931791874186958,60.81548469652495,21.762381353845775,c,fl,4.5346954128402395,1.610803026764667,c,fl
1.51,27.990805409641542,1.5400179592286773,-1.3378960080412394,60.81357797223119,21.715065021364836,c,fl,4.521247978627925,1.6433340113580086,c,fl
1.52,28.040771366238232,1.544774752453832,-1.3761902699375306,60.80092872804194,21.734829822826022,c,fl,4.613090435467497,1.6921254130761347,c,fl
1.53,27.97181094613906,1.5982648336562273,-1.3736795778593947,60.75721528121244,21.758502559875062,c,fl,4.6435046417001695,1.6715602301845478,c,fl
1.54,27.940304028920835,1.5757845954384795,-1.4229222953677074,60.812431931651844,21.746405244143293,c,fl,4.57205159170443,1.5733447008982435,c,fl
1.55,28.013775261650487,1.5627366167359298,-1.4241474822447693,60.678320739913374,21.773338010200163,c,fl,4.527112356818718,1.5402282578380195,c,fl
1.56,27.985389634915464,1.5835951878281738,-1.498966176793036,60.68217347400172,21.82466750642732,c,fl,4.482793092987109,1.400231728365899,c,fl
1.57,28.043395888402262,1.5208663574882773,-1.534663042851538,60.83471144147333,21.794475686606038,c,fl,4.472316594950416,1.4167871946106012,c,fl
1.58,28.00580555836123,1.624477751765744,-1.5126650491101725,60.68791057444134,21.814350822444265,c,fl,4.5542662790983375,1.417123478222421,c,fl
1.59,27.992840396502306,1.567084913075952,-1.4734243493524748,60.712678678455184,21.867668778026136,c,fl,4.5412849979216805,1.5007757354932536,c,fl
1.6,27.98138890415407,1.5940375610167083,-1.3775288384292934,60.62192713872804,21.853874010947994,c,fl,4.6075702112765695,1.6360038118305678,c,fl
1.61,27.9358818979589,1.5812428837078132,-1.368772795804578,60.66890884350949,21.847315261910598,c,fl,4.6086607523571255,1.6586450728447344,c,fl
1.62,27.90313565211461,1.5435744027384173,-1.3736274786241796,60.618333506461084,21.81565842295922,c,fl,4.413252714826062,1.4960508334634655,c,fl
1.6300000000000001,27.974279220252036,1.5443769455510847,-1.3680853870113632,60.621398700853796,21.88489957726797,c,fl,4.505564641707859,1.593102309145411,c,fl
1.6400000000000001,27.994550066954037,1.55501296168731,-1.431710456798842,60.61943951927617,21.915706362126052,c,fl,4.552849129360932,1.5661257108747797,c,fl
1.6500000000000001,28.018941683460273,1.497555532163366,-1.4564917469732115,60.61531638808406,21.873826791616196,c,fl,4.426818869394195,1.4727715902576177,c,fl
1.6600000000000001,27.9486166835273,1.6095467136917279,-1.4703159678627324,60.38040179872279,21.784321239010342,c,fl,4.5891872094571635,1.5093245279027028,c,fl
1.67,27.931338172264017,1.6943841890401545,-1.5149029439099557,60.33670458983638,21.866683037926443,c,fl,4.761126043783504,1.5518389108333932,c,fl
1.68,27.971053114768896,1.6761274055983026,-1.5290850500612245,60.38164631039842,21.84751490030244,c,fl,4.674582087575494,1.4693696319159673,c,fl
1.69,27.939279008029136,1.6189956641344352,-1.3371197825378467,60.18980268876513,21.8044917122405,c,fl,4.665732821247024,1.7096173745747427,c,fl
1.7,28.04084711966825,1.5591615825670082,-1.3808474114763636,60.1237997358663,21.790917516155126,c,fl,4.509332827867661,1.5693238338242892,c,fl
1.71,27.9488253199362,1.6023531605088965,-1.393522006109198,60.170194630844456,21.73676443881975,c,fl,4.559913046029723,1.5640378794116283,c,fl
1.72,28.03471045680588,1.5859696281297238,-1.3727014624202316,59.94018381292813,21.723453305588983,c,fl,4.530829294796307,1.5721582042463518,c,fl
1.73,28.03735998502988,1.5651206846928765,-1.4727663133770157,59.83641788292466,21.803903074365664,c,fl,4.475907244471628,1.438020246401736,c,fl
1.74,28.052157061856903,1.6308879430745524,-1.4543579446048795,59.80413973744575,21.759835187006516,c,fl,4.514085552037549,1.428839664358117,c,fl
1.75,27.990473164731597,1.605902885981107,-1.4076370213553173,59.74410958837356,21.78548979561759,c,fl,4.495856039258413,1.4823161319219889,c,fl
1.76,27.984895971294872,1.584209004066037,-1.3157991626723522,59.62466377346127,21.756765539175625,c,fl,4.439332260419508,1.539324093681118,c,fl
1.77,28.07994023790786,1.5236282640969459,-1.3873227845817468,59.64955558835376,21.732855348973796,c,fl,4.295452583241866,1.384501534563174,c,fl
1.78,28.051345497352923,1.5299632953629996,-1.4190603887996696,59.63635704064633,21.71478966525305,c,fl,4.325900593890451,1.376876909727782,c,fl
1.79,28.017277441936606,1.564114017937772,-1.5301829633064967,59.46147962847036,21.768139352736757,c,fl,4.3684138583075045,1.2741168770632356,c,fl
1.8,28.01444651694619,1.5348803643587543,-1.4865800077270417,59.463550323426155,21.78463960678931,c,fl,4.512854122068663,1.491393749982867,c,fl
1.81,27.962548001192282,1.5047610831971923,-1.427616317414782,59.308210576870636,21.72159854203252,c,fl,4.557856731999329,1.6254793313873543,c,fl
1.82,28.0478296428952,1.5367566951175202,-1.3194315383639486,59.21320292479269,21.860523216355745,c,fl,4.609129040775352,1.7529408072938832,c,fl
1.83,27.986866449940216,1.5868414000300857,-1.2999591038141136,59.06603836472517,21.860694577616112,c,fl,4.618769832297663,1.7319693284534639,c,fl
